text,sentiment
Amazing experience,Positive
Nothing special,Neutral
Average product,Neutral
Very happy with service,Positive
It is okay,Neutral
It is okay,Neutral
Not satisfied,Negative
Nothing special,Neutral
Very bad experience,Negative
Not satisfied,Negative
It is okay,Neutral
Amazing experience,Positive
Not satisfied,Negative
Very happy with service,Positive
Very bad experience,Negative
Nothing special,Neutral
Very bad experience,Negative
Not satisfied,Negative
It is okay,Neutral
Very bad experience,Negative
I love this product,Positive
Nothing special,Neutral
I love this product,Positive
Very bad experience,Negative
Average product,Neutral
Average product,Neutral
Not satisfied,Negative
Nothing special,Neutral
Average product,Neutral
Very happy with service,Positive
Average product,Neutral
Very happy with service,Positive
Nothing special,Neutral
Amazing experience,Positive
I love this product,Positive
I love this product,Positive
I love this product,Positive
I love this product,Positive
Very bad experience,Negative
Nothing special,Neutral
Nothing special,Neutral
Amazing experience,Positive
I love this product,Positive
Not satisfied,Negative
Average product,Neutral
Very happy with service,Positive
Very happy with service,Positive
Average product,Neutral
Very happy with service,Positive
Average product,Neutral
Average product,Neutral
Very bad experience,Negative
Amazing experience,Positive
Amazing experience,Positive
Very bad experience,Negative
I love this product,Positive
I love this product,Positive
Nothing special,Neutral
Nothing special,Neutral
Very bad experience,Negative
Nothing special,Neutral
Not satisfied,Negative
Amazing experience,Positive
Average product,Neutral
It is okay,Neutral
Not satisfied,Negative
Not satisfied,Negative
Worst ever,Negative
It is okay,Neutral
Very happy with service,Positive
Amazing experience,Positive
I love this product,Positive
Nothing special,Neutral
I love this product,Positive
Average product,Neutral
Worst ever,Negative
Nothing special,Neutral
I love this product,Positive
I love this product,Positive
I love this product,Positive
Not satisfied,Negative
I love this product,Positive
Amazing experience,Positive
Not satisfied,Negative
Not satisfied,Negative
Amazing experience,Positive
It is okay,Neutral
Very bad experience,Negative
Amazing experience,Positive
It is okay,Neutral
I love this product,Positive
Nothing special,Neutral
Average product,Neutral
I love this product,Positive
Not satisfied,Negative
Worst ever,Negative
I love this product,Positive
It is okay,Neutral
It is okay,Neutral
Very happy with service,Positive
It is okay,Neutral
Amazing experience,Positive
It is okay,Neutral
Very bad experience,Negative
Average product,Neutral
Worst ever,Negative
Nothing special,Neutral
Very bad experience,Negative
Average product,Neutral
It is okay,Neutral
Nothing special,Neutral
Amazing experience,Positive
Very bad experience,Negative
Very happy with service,Positive
It is okay,Neutral
It is okay,Neutral
Nothing special,Neutral
Not satisfied,Negative
Worst ever,Negative
Very happy with service,Positive
Worst ever,Negative
Very happy with service,Positive
It is okay,Neutral
Average product,Neutral
Not satisfied,Negative
Very happy with service,Positive
Amazing experience,Positive
Worst ever,Negative
Average product,Neutral
Average product,Neutral
Not satisfied,Negative
Average product,Neutral
Very happy with service,Positive
Worst ever,Negative
It is okay,Neutral
Very happy with service,Positive
Nothing special,Neutral
Very bad experience,Negative
Amazing experience,Positive
Nothing special,Neutral
Amazing experience,Positive
Average product,Neutral
Not satisfied,Negative
Worst ever,Negative
Worst ever,Negative
Amazing experience,Positive
I love this product,Positive
Nothing special,Neutral
Average product,Neutral
It is okay,Neutral
Very bad experience,Negative
Average product,Neutral
Not satisfied,Negative
It is okay,Neutral
It is okay,Neutral
I love this product,Positive
Not satisfied,Negative
I love this product,Positive
I love this product,Positive
Very bad experience,Negative
Very happy with service,Positive
It is okay,Neutral
Very bad experience,Negative
Average product,Neutral
Nothing special,Neutral
Average product,Neutral
I love this product,Positive
Worst ever,Negative
Very bad experience,Negative
Amazing experience,Positive
Amazing experience,Positive
I love this product,Positive
Very happy with service,Positive
Worst ever,Negative
Amazing experience,Positive
Very happy with service,Positive
It is okay,Neutral
Very bad experience,Negative
It is okay,Neutral
Very bad experience,Negative
It is okay,Neutral
I love this product,Positive
Worst ever,Negative
I love this product,Positive
It is okay,Neutral
Amazing experience,Positive
I love this product,Positive
Nothing special,Neutral
Very happy with service,Positive
Nothing special,Neutral
It is okay,Neutral
Very happy with service,Positive
Nothing special,Neutral
Worst ever,Negative
I love this product,Positive
Average product,Neutral
Average product,Neutral
It is okay,Neutral
Average product,Neutral
Very happy with service,Positive
Very happy with service,Positive
Nothing special,Neutral
Amazing experience,Positive
Amazing experience,Positive
Very bad experience,Negative
Worst ever,Negative
Very bad experience,Negative
It is okay,Neutral
Average product,Neutral
Worst ever,Negative
Average product,Neutral
It is okay,Neutral
I love this product,Positive
Worst ever,Negative
Amazing experience,Positive
Nothing special,Neutral
Average product,Neutral
Worst ever,Negative
Not satisfied,Negative
It is okay,Neutral
Average product,Neutral
Very bad experience,Negative
Very bad experience,Negative
Very happy with service,Positive
Not satisfied,Negative
Worst ever,Negative
Average product,Neutral
Amazing experience,Positive
It is okay,Neutral
Very happy with service,Positive
Not satisfied,Negative
Average product,Neutral
Amazing experience,Positive
Very happy with service,Positive
I love this product,Positive
Average product,Neutral
I love this product,Positive
Very bad experience,Negative
Very happy with service,Positive
Worst ever,Negative
Average product,Neutral
Worst ever,Negative
Worst ever,Negative
Average product,Neutral
It is okay,Neutral
Worst ever,Negative
Not satisfied,Negative
I love this product,Positive
It is okay,Neutral
It is okay,Neutral
Very bad experience,Negative
Very bad experience,Negative
Average product,Neutral
Very bad experience,Negative
Nothing special,Neutral
I love this product,Positive
I love this product,Positive
Average product,Neutral
I love this product,Positive
Worst ever,Negative
It is okay,Neutral
Very bad experience,Negative
I love this product,Positive
I love this product,Positive
I love this product,Positive
It is okay,Neutral
Worst ever,Negative
Nothing special,Neutral
Average product,Neutral
Not satisfied,Negative
Worst ever,Negative
Amazing experience,Positive
Nothing special,Neutral
Nothing special,Neutral
Nothing special,Neutral
Very bad experience,Negative
I love this product,Positive
Amazing experience,Positive
Not satisfied,Negative
Amazing experience,Positive
It is okay,Neutral
Worst ever,Negative
Not satisfied,Negative
Nothing special,Neutral
Nothing special,Neutral
Very happy with service,Positive
It is okay,Neutral
Worst ever,Negative
It is okay,Neutral
Amazing experience,Positive
Very happy with service,Positive
It is okay,Neutral
Worst ever,Negative
Very bad experience,Negative
Very bad experience,Negative
Nothing special,Neutral
Worst ever,Negative
It is okay,Neutral
Average product,Neutral
Not satisfied,Negative
